biome,sample,Firmicutes,Bacteroidetes,Unassigned,Proteobacteria,Chordata,Actinobacteria,Cyanobacteria,Verrucomicrobia,Tenericutes,Fusobacteria,Euryarchaeota,Others
gut,ERR525938,0.858109627,0.000160555,0.044529895,0.094157408,0,8.03E-05,0.00206313,0,0,0,0,0.000899107
gut,ERR2198682,0.855923031,0.01232712,0.109651233,0.00210463,3.01E-05,0.005742634,0,0.000150331,1.50E-05,0.000255562,0,0.013800361
gut,ERR2560641,0.855735733,0.074071002,0.046532847,0.001347877,0.000103683,0.018144492,0,0.003297113,0.000705043,0,0,6.22E-05
gut,ERR2560640,0.85521453,0.0754758,0.047115556,0.001067215,0.000355738,0.017470701,0,0.002648274,0.000553371,0,0,9.88E-05
gut,SRR5983417,0.854082999,0.017849174,0.095939313,0.008032129,0.000446229,0.01427934,0,0.003123606,0.000892459,0.000446229,0,0.004908523
gut,ERR2560639,0.853481544,0.076111577,0.047105705,0.000817953,0.000167785,0.01875,0,0.003187919,0.000293624,0,0,8.39E-05
gut,ERR2198633,0.843458632,0.005631073,0.12592011,0.014065414,7.97E-05,0.006563451,4.91E-05,0.002024242,6.13E-06,0.001735941,0,0.000466189
gut,ERR525823,0.842561268,0.053737509,0.049740412,0.009043711,0,0.044481661,1.12E-05,8.93E-05,0.000234467,0,0,0.000100486
gut,ERR1762117,0.838990343,0.000239029,0.116789368,0.001099532,0,0.020699876,0.000143417,4.78E-05,0.020460847,0,0,0.001529783
gut,ERR1762116,0.838564806,0.000338034,0.11232374,0.001158972,0,0.022696542,0.000193162,0.000144872,0.022117056,0,0,0.002462816
gut,ERR1762118,0.836901612,0.000384893,0.117825355,0.001106567,0,0.023430358,4.81E-05,0,0.018378638,0,0,0.001924465
gut,ERR1762115,0.83601757,0.000195217,0.117569546,0.001073694,0,0.023914104,0,4.88E-05,0.019521718,0,0,0.001659346
gut,ERR2198675,0.835941903,0.005419467,0.130211721,0.017746947,2.89E-05,0.005881928,1.45E-05,0.002485729,4.34E-05,0.001849845,0,0.00037575
gut,ERR675650,0.833333333,0.166666667,0,0,0,0,0,0,0,0,0,0
gut,ERR695612,0.832496528,0.093045615,0.053626749,0.005554962,0,0.013673753,0.000213652,0.000747783,0.000106826,0,0.000106826,0.000427305
gut,SRR5947809,0.832336189,0.031828842,0.101852295,0.016991337,0,0.003302542,0,0.002584598,0.000143589,0.000143589,0,0.01081702
gut,ERR526034,0.828629489,6.11E-05,0.048335049,0.057379337,0,0.064461267,0.000959375,0,0,0,0,0.000174432
gut,ERR1398143,0.828215943,0.10131098,0.052358358,0.00860045,0,0.009299873,0.000137073,7.03E-06,2.81E-05,3.51E-06,0,3.87E-05
gut,ERR695613,0.824346317,0.096886189,0.057610936,0.005316263,0,0.014863839,0.00021699,0,0.000433981,0,0,0.000325486
gut,ERR675505,0.821428571,0.107142857,0.035714286,0.035714286,0,0,0,0,0,0,0,0
