ID,Type,Group,Acidobacteria,Actinobacteria,Alveolata,Amoebozoa,Aquificae,Bacteroidetes,Balneolaeota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deinococcus-Thermus,Diplomonadida,dsDNA,dsRNA,Elusimicrobia,environmental,Euglenozoa,Euryarchaeota,Fibrobacteres,Firmicutes,Fungi,Fusobacteria,Gemmatimonadetes,Kiritimatiellaeota,Metazoa,Nanoarchaeota,Nitrospirae,Nucleariidae,Parabasalia,Planctomycetes,Proteobacteria,Retro-transcribing,Rhizaria,Rhodothermaeota,Spirochaetes,ssRNA,Stramenopiles,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,unclassified,Verrucomicrobia,Viridiplantae
PF14340,soil,4,0,0.680107527,0,0,0,0.067204301,0,0,0.008064516,0,0,0.016129032,0,0,0,0,0,0,0.002688172,0,0.177419355,0,0,0.002688172,0,0,0,0,0,0,0,0.043010753,0,0,0,0.002688172,0,0,0,0,0,0,0,0,0,0
PF14341,soil,4,0.004545455,0,0,0,0,0,0,0,0,0,0,0.009090909,0,0,0,0,0,0,0,0,0.054545455,0,0,0,0,0,0,0.004545455,0,0,0.004545455,0.918181818,0,0,0,0.004545455,0,0,0,0,0,0,0,0,0,0
PF14342,soil,4,0,0.44966443,0,0,0,0.006711409,0,0,0.003355705,0,0,0,0,0,0,0,0,0,0.026845638,0,0.083892617,0.161073826,0.003355705,0,0,0,0,0.006711409,0,0,0,0.251677852,0,0.003355705,0,0,0,0,0,0,0,0,0,0.003355705,0,0
PF14344,soil,4,0.007556675,0.292191436,0,0.002518892,0,0.249370277,0,0,0.007556675,0,0,0.010075567,0,0,0,0,0,0,0.047858942,0,0.204030227,0,0,0.005037783,0,0,0,0,0,0,0,0.158690176,0,0,0.005037783,0,0,0,0,0,0,0,0,0.010075567,0,0
PF14347,soil,4,0,0,0,0,0,0.052325581,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0,0,0,0,0,0,0,0,0,0,0,0,0.906976744,0,0,0,0,0,0,0,0,0,0,0,0,0.011627907,0.023255814
PF14355,soil,4,0,0.18,0,0,0,0.14,0,0.006666667,0,0,0,0,0,0,0,0.006666667,0,0,0.006666667,0,0.106666667,0,0,0,0,0.006666667,0,0,0,0,0,0.546666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14375,soil,4,0,0,0,0,0,0.248366013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150326797,0,0,0,0,0,0,0.013071895,0,0,0,0.575163399,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0.006535948,0
PF14452,soil,4,0,0.127906977,0,0,0,0.174418605,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034883721,0,0,0,0,0,0,0.011627907,0,0,0.011627907,0.627906977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14584,soil,4,0,0.185430464,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0,0,0,0,0.774834437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033112583,0,0
PF14882,soil,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF15975,soil,4,0.005514706,0.319852941,0,0,0,0.060661765,0,0.001838235,0,0,0,0.001838235,0,0,0,0,0,0,0,0.001838235,0.310661765,0.009191176,0,0,0,0.055147059,0,0,0.001838235,0,0.003676471,0.209558824,0,0,0.003676471,0.001838235,0,0,0,0.003676471,0,0,0,0.007352941,0.001838235,0
PF16137,soil,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994871795,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0
PF16200,soil,4,0.001964637,0,0.039292731,0,0,0.011787819,0.001964637,0,0,0,0,0.007858546,0,0,0,0,0,0.015717092,0,0,0,0.198428291,0,0,0,0.096267191,0,0.00589391,0.001964637,0,0,0.569744597,0,0,0,0.00589391,0,0.009823183,0,0,0,0,0,0.00589391,0,0.027504912
PF16976,soil,4,0.005657709,0.222065064,0,0,0,0,0,0,0.012729844,0,0,0,0,0,0,0.001414427,0,0,0,0,0.09476662,0,0,0,0,0.001414427,0,0.001414427,0,0,0.00990099,0.642149929,0,0,0,0,0,0,0,0,0,0,0,0.007072136,0,0.001414427
